Name,API_Name,Memory_GB,vCPUs,Compute_Contract_Price,On_Demand_Cost_Hourly,Hourly_DBUs,GPUs,GPU_Model,GPU_Memory_GB,Physical_Processor,Clock_Speed_GHz,Instance_Storage,Network_Performance,EBS_Optimized_Max_Bandwidth_Mbps,EBS_Optimized_Max_Throughput_128K_Mbps,EBS_As_NVMe,Enhanced_Networking,Linux_Reserved_Cost_Hourly,EBS_Optimized_Surcharge_Hourly
C3 High-CPU Double Extra Large,c3.2xlarge,15.0,8,0.42,0.42,1,0,None,0,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,160 GiB (2 * 80 GiB SSD),High,1000,125,FALSE,TRUE,0.292,0
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30.0,16,0.84,0.84,2,0,None,0,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,320 GiB (2 * 160 GiB SSD),High,2000,250,FALSE,TRUE,0.584,0
C3 High-CPU Eight Extra Large,c3.8xlarge,60.0,32,1.68,1.68,4,0,None,0,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8,640 GiB (2 * 320 GiB SSD),10 Gigabit,0,0,FALSE,TRUE,1.168,0
C4 High-CPU Double Extra Large,c4.2xlarge,15.0,8,0.398,0.398,1,0,None,0,Intel Xeon E5-2666 v3 (Haswell),2.9,EBS only,High,1000,125,FALSE,TRUE,0.252,0
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30.0,16,0.796,0.796,2,0,None,0,Intel Xeon E5-2666 v3 (Haswell),2.9,EBS only,High,2000,250,FALSE,TRUE,0.504,0
C4 High-CPU Eight Extra Large,c4.8xlarge,60.0,36,1.591,1.591,4,0,None,0,Intel Xeon E5-2666 v3 (Haswell),2.9,EBS only,10 Gigabit,4000,500,FALSE,TRUE,1.008,0
C5 High-CPU 12xlarge,c5.12xlarge,96.0,48,2.04,2.04,7.28,0,None,0,Intel Xeon Platinum 8275L,3,EBS only,12 Gigabit,7000,875,TRUE,TRUE,1.285,0
C5 High-CPU 18xlarge,c5.18xlarge,144.0,72,3.06,3.06,10.92,0,None,0,Intel Xeon Platinum 8124M,3,EBS only,25 Gigabit,14000,1750,TRUE,TRUE,1.928,0
C5 High-CPU 24xlarge,c5.24xlarge,192.0,96,4.08,4.08,14.56,0,None,0,Intel Xeon Platinum 8275L,3,EBS only,25 Gigabit,14000,1750,TRUE,TRUE,2.57,0
C5 High-CPU Double Extra Large,c5.2xlarge,16.0,8,0.34,0.34,1.21,0,None,0,Intel Xeon Platinum 8124M,3,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.214,0
